"Target_PosX";"Mouse_PosX";"Mouse_PosY";"Gender(m/w)";"Target_distance";"Age";"UserID";"Trial";"Target_PosY";"Target_width";"Click_PosY";"Time(ms)";"Click_PosX";"Timestamp(ISO)"
"400";"0";"590";"m";"450";"56";"4";"1";"540";"100";"594";"2284";"415";"2014-04-27 12:11:38"
"120";"0";"590";"m";"170";"56";"4";"2";"540";"100";"602";"786";"186";"2014-04-27 12:11:39"
"682";"0";"557";"m";"700";"56";"4";"3";"540";"35";"553";"1058";"702";"2014-04-27 12:11:40"
"250";"0";"590";"m";"300";"56";"4";"4";"540";"100";"586";"1004";"306";"2014-04-27 12:11:41"
"282";"0";"557";"m";"300";"56";"4";"5";"540";"35";"545";"1206";"309";"2014-04-27 12:11:43"
"420";"0";"570";"m";"450";"56";"4";"6";"540";"60";"553";"1232";"442";"2014-04-27 12:11:44"
"670";"0";"570";"m";"700";"56";"4";"7";"540";"60";"564";"1252";"713";"2014-04-27 12:11:45"
"85";"0";"625";"m";"170";"56";"4";"8";"540";"170";"605";"726";"172";"2014-04-27 12:11:46"
"282";"0";"557";"m";"300";"56";"4";"9";"540";"35";"542";"1470";"298";"2014-04-27 12:11:48"
"85";"0";"625";"m";"170";"56";"4";"10";"540";"170";"629";"554";"140";"2014-04-27 12:11:49"
"365";"0";"625";"m";"450";"56";"4";"11";"540";"170";"606";"1053";"415";"2014-04-27 12:11:50"
"250";"0";"590";"m";"300";"56";"4";"12";"540";"100";"565";"738";"280";"2014-04-27 12:11:51"
"400";"0";"590";"m";"450";"56";"4";"13";"540";"100";"622";"891";"452";"2014-04-27 12:11:52"
"250";"0";"590";"m";"300";"56";"4";"14";"540";"100";"564";"1342";"260";"2014-04-27 12:11:54"
"682";"0";"557";"m";"700";"56";"4";"15";"540";"35";"549";"2027";"703";"2014-04-27 12:11:56"
"400";"0";"590";"m";"450";"56";"4";"16";"540";"100";"581";"704";"430";"2014-04-27 12:11:57"
"650";"0";"590";"m";"700";"56";"4";"17";"540";"100";"583";"970";"673";"2014-04-27 12:11:58"
"152";"0";"557";"m";"170";"56";"4";"18";"540";"35";"549";"916";"174";"2014-04-27 12:11:59"
