"Target_PosX";"Mouse_PosX";"Mouse_PosY";"Gender(m/w)";"Target_distance";"Age";"UserID";"Trial";"Target_PosY";"Target_width";"Click_PosY";"Time(ms)";"Click_PosX";"Timestamp(ISO)"
"615";"0";"625";"m";"700";"24";"2";"1";"540";"170";"629";"859";"732";"2014-04-27 12:05:14"
"670";"0";"570";"m";"700";"24";"2";"2";"540";"60";"562";"614";"705";"2014-04-27 12:05:15"
"682";"0";"557";"m";"700";"24";"2";"3";"540";"35";"556";"706";"686";"2014-04-27 12:05:16"
"365";"0";"625";"m";"450";"24";"2";"4";"540";"170";"625";"421";"459";"2014-04-27 12:05:16"
"420";"0";"570";"m";"450";"24";"2";"5";"540";"60";"556";"868";"474";"2014-04-27 12:05:17"
"270";"0";"570";"m";"300";"24";"2";"6";"540";"60";"562";"481";"316";"2014-04-27 12:05:18"
"420";"0";"570";"m";"450";"24";"2";"7";"540";"60";"576";"428";"455";"2014-04-27 12:05:19"
"282";"0";"557";"m";"300";"24";"2";"8";"540";"35";"567";"599";"308";"2014-04-27 12:05:19"
"420";"0";"570";"m";"450";"24";"2";"9";"540";"60";"568";"808";"446";"2014-04-27 12:05:20"
"152";"0";"557";"m";"170";"24";"2";"10";"540";"35";"560";"569";"164";"2014-04-27 12:05:21"
"215";"0";"625";"m";"300";"24";"2";"11";"540";"170";"628";"286";"242";"2014-04-27 12:05:21"
"682";"0";"557";"m";"700";"24";"2";"12";"540";"35";"559";"598";"699";"2014-04-27 12:05:22"
"152";"0";"557";"m";"170";"24";"2";"13";"540";"35";"555";"803";"186";"2014-04-27 12:05:23"
"670";"0";"570";"m";"700";"24";"2";"14";"540";"60";"565";"659";"726";"2014-04-27 12:05:24"
"365";"0";"625";"m";"450";"24";"2";"15";"540";"170";"645";"455";"464";"2014-04-27 12:05:24"
"400";"0";"590";"m";"450";"24";"2";"16";"540";"100";"582";"748";"461";"2014-04-27 12:05:25"
"420";"0";"570";"m";"450";"24";"2";"17";"540";"60";"564";"603";"437";"2014-04-27 12:05:26"
"270";"0";"570";"m";"300";"24";"2";"18";"540";"60";"555";"502";"309";"2014-04-27 12:05:27"
"215";"0";"625";"m";"300";"24";"2";"19";"540";"170";"636";"516";"286";"2014-04-27 12:05:27"
"270";"0";"570";"m";"300";"24";"2";"20";"540";"60";"560";"336";"299";"2014-04-27 12:05:28"
"120";"0";"590";"m";"170";"24";"2";"21";"540";"100";"600";"330";"152";"2014-04-27 12:05:28"
"682";"0";"557";"m";"700";"24";"2";"22";"540";"35";"564";"822";"695";"2014-04-27 12:05:29"
"282";"0";"557";"m";"300";"24";"2";"23";"540";"35";"552";"966";"286";"2014-04-27 12:05:30"
"215";"0";"625";"m";"300";"24";"2";"24";"540";"170";"640";"320";"299";"2014-04-27 12:05:31"
"250";"0";"590";"m";"300";"24";"2";"25";"540";"100";"563";"403";"297";"2014-04-27 12:05:31"
"85";"0";"625";"m";"170";"24";"2";"26";"540";"170";"631";"348";"172";"2014-04-27 12:05:32"
"152";"0";"557";"m";"170";"24";"2";"27";"540";"35";"550";"470";"156";"2014-04-27 12:05:32"
"120";"0";"590";"m";"170";"24";"2";"28";"540";"100";"612";"324";"141";"2014-04-27 12:05:33"
"400";"0";"590";"m";"450";"24";"2";"29";"540";"100";"579";"521";"458";"2014-04-27 12:05:33"
"85";"0";"625";"m";"170";"24";"2";"30";"540";"170";"630";"264";"181";"2014-04-27 12:05:34"
"282";"0";"557";"m";"300";"24";"2";"31";"540";"35";"548";"520";"300";"2014-04-27 12:05:35"
"250";"0";"590";"m";"300";"24";"2";"32";"540";"100";"588";"452";"262";"2014-04-27 12:05:35"
"432";"0";"557";"m";"450";"24";"2";"33";"540";"35";"558";"689";"444";"2014-04-27 12:05:36"
"650";"0";"590";"m";"700";"24";"2";"34";"540";"100";"587";"769";"714";"2014-04-27 12:05:37"
"400";"0";"590";"m";"450";"24";"2";"35";"540";"100";"591";"441";"459";"2014-04-27 12:05:38"
"120";"0";"590";"m";"170";"24";"2";"36";"540";"100";"596";"533";"154";"2014-04-27 12:05:38"
"140";"0";"570";"m";"170";"24";"2";"37";"540";"60";"568";"458";"158";"2014-04-27 12:05:39"
"615";"0";"625";"m";"700";"24";"2";"38";"540";"170";"617";"410";"690";"2014-04-27 12:05:39"
"682";"0";"557";"m";"700";"24";"2";"39";"540";"35";"542";"699";"700";"2014-04-27 12:05:40"
"365";"0";"625";"m";"450";"24";"2";"40";"540";"170";"630";"545";"413";"2014-04-27 12:05:41"
"400";"0";"590";"m";"450";"24";"2";"41";"540";"100";"584";"890";"460";"2014-04-27 12:05:42"
"670";"0";"570";"m";"700";"24";"2";"42";"540";"60";"560";"542";"725";"2014-04-27 12:05:43"
"670";"0";"570";"m";"700";"24";"2";"43";"540";"60";"560";"832";"693";"2014-04-27 12:05:44"
"250";"0";"590";"m";"300";"24";"2";"44";"540";"100";"585";"461";"345";"2014-04-27 12:05:44"
"615";"0";"625";"m";"700";"24";"2";"45";"540";"170";"604";"447";"698";"2014-04-27 12:05:45"
"120";"0";"590";"m";"170";"24";"2";"46";"540";"100";"588";"1089";"202";"2014-04-27 12:05:46"
"85";"0";"625";"m";"170";"24";"2";"47";"540";"170";"631";"236";"165";"2014-04-27 12:05:46"
"140";"0";"570";"m";"170";"24";"2";"48";"540";"60";"558";"436";"147";"2014-04-27 12:05:47"
"650";"0";"590";"m";"700";"24";"2";"49";"540";"100";"572";"415";"676";"2014-04-27 12:05:48"
"152";"0";"557";"m";"170";"24";"2";"50";"540";"35";"562";"614";"161";"2014-04-27 12:05:48"
"215";"0";"625";"m";"300";"24";"2";"51";"540";"170";"626";"305";"240";"2014-04-27 12:05:49"
"85";"0";"625";"m";"170";"24";"2";"52";"540";"170";"615";"298";"134";"2014-04-27 12:05:49"
"282";"0";"557";"m";"300";"24";"2";"53";"540";"35";"552";"740";"305";"2014-04-27 12:05:50"
"432";"0";"557";"m";"450";"24";"2";"54";"540";"35";"559";"601";"462";"2014-04-27 12:05:51"
"250";"0";"590";"m";"300";"24";"2";"55";"540";"100";"566";"754";"286";"2014-04-27 12:05:52"
"365";"0";"625";"m";"450";"24";"2";"56";"540";"170";"633";"405";"444";"2014-04-27 12:05:52"
"615";"0";"625";"m";"700";"24";"2";"57";"540";"170";"615";"679";"769";"2014-04-27 12:05:53"
"140";"0";"570";"m";"170";"24";"2";"58";"540";"60";"552";"413";"165";"2014-04-27 12:05:54"
"432";"0";"557";"m";"450";"24";"2";"59";"540";"35";"562";"592";"456";"2014-04-27 12:05:54"
"650";"0";"590";"m";"700";"24";"2";"60";"540";"100";"589";"602";"673";"2014-04-27 12:05:55"
"432";"0";"557";"m";"450";"24";"2";"61";"540";"35";"553";"1226";"453";"2014-04-27 12:05:56"
"650";"0";"590";"m";"700";"24";"2";"62";"540";"100";"594";"730";"713";"2014-04-27 12:05:57"
"140";"0";"570";"m";"170";"24";"2";"63";"540";"60";"576";"446";"179";"2014-04-27 12:05:58"
"270";"0";"570";"m";"300";"24";"2";"64";"540";"60";"569";"601";"294";"2014-04-27 12:05:59"
